"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"(Lat,Long)"
"Northwest Africa 7954 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-mmict"|"109.6 g"|" "
"Northwest Africa 7955 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite-pm"|"95.1 g"|" "
"Northwest Africa 7956 **"|"Official"|"2013"|"(Northwest Africa)"|"LL6"|"55.2 g"|" "
"Northwest Africa 7957 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"86.1 g"|" "
"Northwest Africa 7958 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"48.3 g"|" "
"Northwest Africa 7959 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"156 g"|" "
"Northwest Africa 7960 **"|"Official"|"2013"|"Morocco"|"Eucrite-unbr"|"309 g"|" "
"Northwest Africa 7961 **"|"Official"|"2013"|"Morocco"|"LL5"|"252 g"|" "
"Northwest Africa 7962 **"|"Official"|"2013"|"(Northwest Africa)"|"H5"|"110.3 g"|" "
"Northwest Africa 7963 **"|"Official"|"2013"|"(Northwest Africa)"|"LL5"|"458 g"|" "
"Northwest Africa 7964 **"|"Official"|"2013"|"(Northwest Africa)"|"H5"|"350 g"|" "
"Northwest Africa 7965 **"|"Official"|"2009"|"(Northwest Africa)"|"LL5-6"|"165 g"|" "
"Northwest Africa 7966"|"Official"|"2009"|"Morocco"|"L6#"|"12 g"|" "
"Northwest Africa 7967 **"|"Official"|"2006"|"(Northwest Africa)"|"Eucrite-br"|"73.9 g"|" "
"Northwest Africa 7968 **"|"Official"|"2011"|"(Northwest Africa)"|"Howardite"|"48 g"|" "
"Northwest Africa 7969"|"Official"|"2004"|"(Northwest Africa)"|"L5"|"16.2 g"|" "
"Northwest Africa 7970"|"Official"|"2004"|"(Northwest Africa)"|"L5"|"265 g"|" "
"Northwest Africa 7971 **"|"Official"|"2012"|"Morocco"|"Eucrite-mmict"|"52.6 g"|" "
"Northwest Africa 7972 **"|"Official"|"2013"|"Morocco"|"L5"|"1113 g"|" "
"Northwest Africa 7973 **"|"Official"|"2013"|"Morocco"|"H6"|"199.9 g"|" "
"Northwest Africa 7974 **"|"Official"|"2013"|"Morocco"|"LL6"|"662 g"|" "
"Northwest Africa 7975 **"|"Official"|"2013"|"Morocco"|"L6"|"622 g"|" "
"Northwest Africa 7976 **"|"Official"|"2013"|"Morocco"|"EH6"|"1312 g"|" "
"Northwest Africa 7977 **"|"Official"|"2013"|"Morocco"|"Diogenite"|"3.4 kg"|" "
"Northwest Africa 7978 **"|"Official"|"2013"|"Morocco"|"L3.10"|"681 g"|" "
"Northwest Africa 7979 **"|"Official"|"2013"|"Morocco"|"R5"|"131.8 g"|" "
"Northwest Africa 7980 **"|"Official"|"2013"|"Morocco"|"L3.10"|"386 g"|" "
"Northwest Africa 7981 **"|"Official"|"2013"|"Morocco"|"LL3.5"|"110.9 g"|" "
"Northwest Africa 7982 **"|"Official"|"2013"|"Morocco"|"Eucrite"|"615 g"|" "
"Northwest Africa 7983 **"|"Official"|"2013"|"Morocco"|"Ureilite"|"424 g"|" "
"Northwest Africa 7984"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"1178 g"|" "
"Northwest Africa 7985"|"Official"|"2009"|"(Northwest Africa)"|"LL3-5"|"560 g"|" "
"Northwest Africa 7986 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"12.2 g"|" "
"Northwest Africa 7987 **"|"Official"|"2013"|"(Northwest Africa)"|"H4"|"1377 g"|" "
"Northwest Africa 7988 **"|"Official"|"2013"|"(Northwest Africa)"|"LL6"|"116 g"|" "
"Northwest Africa 7989 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-pmict"|"510 g"|" "
"Northwest Africa 7990 **"|"Official"|"2010"|"(Northwest Africa)"|"LL7"|"452 g"|" "
"Northwest Africa 7991 **"|"Official"|"2010"|"(Northwest Africa)"|"Diogenite"|"48 g"|" "
"Northwest Africa 7992 **"|"Official"|"2010"|"(Northwest Africa)"|"H6"|"205 g"|" "
"Northwest Africa 7993 **"|"Official"|"2010"|"(Northwest Africa)"|"L6"|"575 g"|" "
"Northwest Africa 7994 **"|"Official"|"2010"|"(Northwest Africa)"|"Diogenite"|"95 g"|" "
"Northwest Africa 7995 **"|"Official"|"2011"|"(Northwest Africa)"|"H7"|"351 g"|" "
"Northwest Africa 7996 **"|"Official"|"2011"|"(Northwest Africa)"|"H4"|"675 g"|" "
"Northwest Africa 7997 **"|"Official"|"2011"|"(Northwest Africa)"|"Diogenite"|"60 g"|" "
"Northwest Africa 7998 **"|"Official"|"2013"|"(Northwest Africa)"|"L5"|"59 kg"|" "
"Northwest Africa 7999 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-pmict"|"500 g"|" "
"Northwest Africa 8000 **"|"Official"|"2013"|"(Northwest Africa)"|"Diogenite"|"23 g"|" "
"Northwest Africa 8001 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"23.4 g"|" "
"Northwest Africa 8002 **"|"Official"|"2013"|"(Northwest Africa)"|"L3"|"89 g"|" "
"Northwest Africa 8003 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"273 g"|" "
"Northwest Africa 8004 **"|"Official"|"2013"|"(Northwest Africa)"|"CR2"|"12.4 g"|" "
"Northwest Africa 8007 **"|"Official"|"2013"|"Morocco"|"L3.2"|"664 g"|" "
"Northwest Africa 8008"|"Official"|"2012"|"(Northwest Africa)"|"L4"|"1639 g"|" "
"Northwest Africa 8009 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"7.5 kg"|" "
"Northwest Africa 8010 **"|"Official"|"2013"|"Morocco"|"Lunar (feldsp. breccia)"|"58 g"|" "
"Northwest Africa 8011 **"|"Official"|"2013"|"(Northwest Africa)"|"LL-melt rock"|"160 g"|" "
"Northwest Africa 8012 **"|"Official"|"2013"|"(Northwest Africa)"|"R6"|"1881 g"|" "
"Northwest Africa 8013 **"|"Official"|"2013"|"(Northwest Africa)"|"LL6"|"77 g"|" "
"Northwest Africa 8014 **"|"Official"|"2013"|"(Northwest Africa)"|"Achondrite-ung"|"210 g"|" "
"Northwest Africa 8015 **"|"Official"|"2012"|"(Northwest Africa)"|"L5-melt breccia"|"1513 g"|" "
"Northwest Africa 8016 **"|"Official"|"2011"|"(Northwest Africa)"|"LL6"|"18.8 g"|" "
"Northwest Africa 8017 **"|"Official"|"2011"|"(Northwest Africa)"|"LL6"|"816 g"|" "
"Northwest Africa 8018 **"|"Official"|"2011"|"(Northwest Africa)"|"H4"|"392 g"|" "
"Northwest Africa 8019 **"|"Official"|"2013"|"(Northwest Africa)"|"H4"|"3.65 kg"|" "
"Northwest Africa 8020 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"81 g"|" "
"Northwest Africa 8021 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite"|"185.6 g"|" "
"Northwest Africa 8022 **"|"Official"|"2013"|"(Northwest Africa)"|"Lunar (feldsp. breccia)"|"1226 g"|" "
"Northwest Africa 8023 **"|"Official"|"2013"|"(Northwest Africa)"|"L6"|"178.8 g"|" "
"Northwest Africa 8024"|"Official"|"2003"|"(Northwest Africa)"|"L4"|"4.74 kg"|" "
"Northwest Africa 8025"|"Official"|"2003"|"(Northwest Africa)"|"L5"|"15.44 kg"|" "
"Northwest Africa 8026 **"|"Official"|"2003"|"(Northwest Africa)"|"CV3"|"1954 g"|" "
"Northwest Africa 8027 **"|"Official"|"2003"|"(Northwest Africa)"|"Howardite"|"4.58 g"|" "
"Northwest Africa 8028"|"Official"|"2003"|"(Northwest Africa)"|"L6"|"4.15 kg"|" "
"Northwest Africa 8029"|"Official"|"2003"|"(Northwest Africa)"|"L6"|"288 g"|" "
"Northwest Africa 8031 **"|"Official"|"2012"|"(Northwest Africa)"|"L3.9"|"380 g"|" "
"Northwest Africa 8032 **"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"3.24 kg"|" "
"Northwest Africa 8033 **"|"Official"|"2012"|"(Northwest Africa)"|"L4"|"114 g"|" "
"Northwest Africa 8034 **"|"Official"|"2012"|"(Northwest Africa)"|"L5"|"1517 g"|" "
"Northwest Africa 8035 **"|"Official"|"2012"|"(Northwest Africa)"|"L6"|"35 g"|" "
"Northwest Africa 8036 **"|"Official"|"2013"|"(Northwest Africa)"|"Eucrite-pmict"|"1612 g"|" "
"Northwest Africa 8037 **"|"Official"|"2013"|"(Northwest Africa)"|"H3"|"1460 g"|" "
"Northwest Africa 8038 **"|"Official"|"2013"|"(Northwest Africa)"|"CO3"|"652 g"|" "
"Northwest Africa 8039 **"|"Official"|"2013"|"(Northwest Africa)"|"H3"|"99 g"|" "
"Northwest Africa 8040 **"|"Official"|"2013"|"(Northwest Africa)"|"CK4"|"118 g"|" "
"Northwest Africa 8041 **"|"Official"|"2013"|"(Northwest Africa)"|"LL3-5"|"862 g"|" "
"Northwest Africa 8042 **"|"Official"|"2013"|"(Northwest Africa)"|"H5"|"131.8 g"|" "
"Northwest Africa 8043 **"|"Official"|"2013"|"Morocco"|"Diogenite"|"1860 g"|" "
"Northwest Africa 8044 **"|"Official"|"2011"|"Morocco"|"Howardite"|"715 g"|" "
