"Name"|"Status"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Yamato 792791"|"Official"|"1979"|"Antarctica"|"L6"|"144.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792792"|"Official"|"1979"|"Antarctica"|"L6"|"47.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792793"|"Official"|"1979"|"Antarctica"|"L6"|"37.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792794"|"Official"|"1979"|"Antarctica"|"L6"|"17.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792795"|"Official"|"1979"|"Antarctica"|"H5"|"71.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792796"|"Official"|"1979"|"Antarctica"|"LL6"|"242 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792797"|"Official"|"1979"|"Antarctica"|"LL6"|"171.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792798"|"Official"|"1979"|"Antarctica"|"LL6"|"7.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792799"|"Official"|"1979"|"Antarctica"|"LL6"|"4.67 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792800"|"Official"|"1979"|"Antarctica"|"LL6"|"5.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792801"|"Official"|"1979"|"Antarctica"|"LL6"|"3.16 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792802"|"Official"|"1979"|"Antarctica"|"LL6"|"2.13 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792803"|"Official"|"1979"|"Antarctica"|"L6"|"50.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792804"|"Official"|"1979"|"Antarctica"|"H6"|"94.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792805"|"Official"|"1979"|"Antarctica"|"H4"|"15.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792806"|"Official"|"1979"|"Antarctica"|"H5"|"10.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792807"|"Official"|"1979"|"Antarctica"|"L4"|"14.8 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792808"|"Official"|"1979"|"Antarctica"|"H4"|"12.7 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792809"|"Official"|"1979"|"Antarctica"|"L6"|"11.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792810"|"Official"|"1979"|"Antarctica"|"H4"|"6.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792811"|"Official"|"1979"|"Antarctica"|"H6"|"4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792812"|"Official"|"1979"|"Antarctica"|"H4"|"5.1 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792813"|"Official"|"1979"|"Antarctica"|"H4"|"9.5 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792814"|"Official"|"1979"|"Antarctica"|"H6"|"8.2 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792815"|"Official"|"1979"|"Antarctica"|"H4"|"5.4 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792816"|"Official"|"1979"|"Antarctica"|"H6"|"3.48 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792817"|"Official"|"1979"|"Antarctica"|"H4"|"3.48 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792818"|"Official"|"1979"|"Antarctica"|"H4"|"17.3 g"|" NIPR"|"(-71.500000, 35.666670)  "
"Yamato 792819"|"Official"|"1979"|"Antarctica"|"H4"|"11.6 g"|" NIPR"|"(-71.500000, 35.666670)  "
