"Name"|"Status"|"Fall"|"Year"|"Place"|"Type"|"Mass"|"Antarctic"|"(Lat,Long)"
"Allan Hills A78057"|"Official"|" "|"1978"|"Antarctica"|"H4"|"8.7 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78058"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"14.4 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78059"|"Official"|" "|"1978"|"Antarctica"|"L6"|"9.1 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78060"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H6"|"5.4 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78061"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"1.64 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78062"|"Official"|" "|"1978"|"Antarctica"|"LL6"|"10.9 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78063"|"Official"|" "|"1978"|"Antarctica"|"LL6"|"76.7 g"|"8(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78064"|"Official"|" "|"1977 or 1978"|"Antarctica"|"L"|"10.4 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78065"|"Official"|" "|"1978"|"Antarctica"|"H6"|"7.3 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78066"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"8.5 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78067"|"Official"|" "|"1978"|"Antarctica"|"H6"|"7.8 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78068"|"Official"|" "|"1977 or 1978"|"Antarctica"|"L6"|"3.19 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78069"|"Official"|" "|"1978"|"Antarctica"|"H6"|"4.4 g"|"8(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78070"|"Official"|" "|"1978"|"Antarctica"|"L4"|"10 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78071"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H6"|"5.7 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78073"|"Official"|" "|"1977 or 1978"|"Antarctica"|"LL6"|"2.98 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78074 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"200 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78075 **"|"Official"|" "|"1978"|"Antarctica"|"H5"|"281 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78076 **"|"Official"|" "|"1978"|"Antarctica"|"H6"|"276 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78077 **"|"Official"|" "|"1978"|"Antarctica"|"H4"|"331 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78078 **"|"Official"|" "|"1978"|"Antarctica"|"L6"|"290 g"|"3(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78079"|"Official"|" "|"1978"|"Antarctica"|"H5"|"4.5 g"|"7(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78080"|"Official"|" "|"1978"|"Antarctica"|"H5"|"24.8 g"|"7(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78081"|"Official"|" "|"1978"|"Antarctica"|"H5"|"17.8 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78082"|"Official"|" "|"1978"|"Antarctica"|"LL6"|"24 g"|"8(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78083"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H4"|"11.4 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78084 **"|"Official"|" "|"1978"|"Antarctica"|"H3.9"|"14.28 kg"|"3(3) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78085 **"|"Official"|" "|"1978"|"Antarctica"|"H5"|"219 g"|"3(1) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78086"|"Official"|" "|"1978"|"Antarctica"|"H6"|"9 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78087"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"8 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78088"|"Official"|" "|"1978"|"Antarctica"|"H5"|"5.2 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78089"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H4"|"12.2 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78090"|"Official"|" "|"1978"|"Antarctica"|"H5"|"7.5 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
"Allan Hills A78091"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H4/5"|"2.54 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78092"|"Official"|" "|"1978"|"Antarctica"|"H5"|"16.3 g"|"6(2) ANS-NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78093"|"Official"|" "|"1977 or 1978"|"Antarctica"|"H5"|"2.62 g"|" NIPR"|"(-76.716670, 159.666670)  "
"Allan Hills A78094"|"Official"|" "|"1978"|"Antarctica"|"H5"|"4 g"|"6(2) ANSMET"|"(-76.716670, 159.666670)  "
